Title,Region,City,Category,Sub-Category,Sales(USD),Quantity(Units),Discount(Sum),Profit(USD),Profit_Margin(%)
Operational Report 2018-01-03 to 2021-12-30,,,,,,,,,
,"('Central',)",Allen,Furniture,Furnishings,310.88,2,0.2,23.32,7.5
,"('Central',)",Allen,Office Supplies,Art,9.4,5,0.0,2.73,29.04
,"('Central',)",Allen,Office Supplies,Binders,8.78,4,0.8,-13.62,-155.13
,"('Central',)",Allen,Office Supplies,Labels,74.0,5,0.0,37.0,50.0
,"('Central',)",Allen,Office Supplies,Paper,10.37,2,0.2,3.63,35.0
,"('Central',)",Allen,Office Supplies,Supplies,12.88,1,0.0,0.39,3.03
,"('Central',)",Allen,Technology,Accessories,21.48,3,0.2,-0.27,-1.26
,"('Central',)",Allen,Technology,Phones,201.58,2,0.2,12.6,6.25
,"('Central',)",Amarillo,Furniture,Chairs,271.76,2,0.1,48.31,17.78
,"('Central',)",Amarillo,Office Supplies,Appliances,20.5,6,0.8,-3.85,-18.78
,"('Central',)",Amarillo,Office Supplies,Art,22.0,10,0.0,9.68,44.0
,"('Central',)",Amarillo,Office Supplies,Binders,14.38,3,0.2,4.85,33.73
,"('Central',)",Amarillo,Office Supplies,Paper,28.35,1,0.2,9.57,33.76
,"('Central',)",Amarillo,Office Supplies,Storage,1117.92,4,0.0,55.9,5.0
,"('Central',)",Amarillo,Technology,Accessories,215.41,7,0.4,55.17,25.61
,"('Central',)",Amarillo,Technology,Copiers,1999.96,5,0.2,624.99,31.25
,"('Central',)",Arlington,Furniture,Tables,2887.06,9,0.2,180.44,6.25
,"('Central',)",Arlington,Office Supplies,Art,47.62,3,0.2,3.57,7.5
,"('Central',)",Arlington,Office Supplies,Binders,12.67,2,0.2,4.75,37.49
,"('Central',)",Arlington,Office Supplies,Paper,166.0,15,0.0,76.14,45.87
,"('Central',)",Arlington,Office Supplies,Storage,16.06,1,0.0,4.18,26.03
,"('Central',)",Arlington,Technology,Accessories,254.97,3,0.0,91.79,36.0
,"('Central',)",Arlington,Technology,Phones,987.58,16,0.6,79.26,8.03
,"('Central',)",Arlington Heights,Furniture,Furnishings,22.75,3,0.2,7.11,31.25
,"('Central',)",Arlington Heights,Office Supplies,Art,14.11,6,0.2,1.23,8.72
,"('Central',)",Arlington Heights,Office Supplies,Paper,6.67,1,0.2,2.08,31.18
,"('Central',)",Arlington Heights,Office Supplies,Storage,237.1,3,0.2,20.75,8.75
,"('Central',)",Aurora,Furniture,Bookcases,476.12,5,0.4,24.88,5.23
,"('Central',)",Aurora,Furniture,Chairs,2396.86,12,1.1,-52.65,-2.2
,"('Central',)",Aurora,Furniture,Furnishings,358.81,23,2.6,-141.29,-39.38
,"('Central',)",Aurora,Furniture,Tables,1007.84,9,1.0,-412.05,-40.88
,"('Central',)",Aurora,Office Supplies,Appliances,94.05,13,1.2,-158.54,-168.57
,"('Central',)",Aurora,Office Supplies,Art,140.07,34,0.6,42.84,30.58
,"('Central',)",Aurora,Office Supplies,Binders,611.34,38,4.7,4.68,0.77
,"('Central',)",Aurora,Office Supplies,Envelopes,207.09,6,0.2,96.69,46.69
,"('Central',)",Aurora,Office Supplies,Labels,52.54,8,0.4,24.25,46.16
,"('Central',)",Aurora,Office Supplies,Paper,1202.54,38,1.0,531.63,44.21
,"('Central',)",Aurora,Office Supplies,Storage,2334.67,26,0.8,206.18,8.83
,"('Central',)",Aurora,Office Supplies,Supplies,69.5,5,0.0,20.15,28.99
,"('Central',)",Aurora,Technology,Accessories,1157.73,15,0.8,241.55,20.86
,"('Central',)",Aurora,Technology,Phones,6490.99,46,2.0,785.41,12.1
,"('Central',)",Austin,Furniture,Chairs,1402.49,13,0.9,60.53,4.32
,"('Central',)",Austin,Furniture,Furnishings,122.28,12,0.6,15.44,12.63
,"('Central',)",Austin,Office Supplies,Appliances,32.67,3,0.0,8.49,25.99
,"('Central',)",Austin,Office Supplies,Binders,167.21,13,1.0,61.68,36.89
,"('Central',)",Austin,Office Supplies,Envelopes,84.95,12,0.4,32.87,38.69
,"('Central',)",Austin,Office Supplies,Fasteners,19.41,7,0.4,-2.9,-14.94
,"('Central',)",Austin,Office Supplies,Labels,4.93,2,0.2,1.72,34.89
,"('Central',)",Austin,Office Supplies,Paper,34.89,6,0.2,15.51,44.45
,"('Central',)",Austin,Technology,Accessories,244.06,12,0.2,84.12,34.47
,"('Central',)",Austin,Technology,Phones,769.9,11,0.4,87.78,11.4
,"('Central',)",Bloomington,Furniture,Bookcases,1266.86,7,0.0,291.38,23.0
,"('Central',)",Bloomington,Furniture,Furnishings,155.25,3,0.0,46.57,30.0
,"('Central',)",Bloomington,Furniture,Tables,617.7,6,0.5,-407.68,-66.0
,"('Central',)",Bloomington,Office Supplies,Art,35.97,3,0.0,9.71,26.99
,"('Central',)",Bloomington,Office Supplies,Labels,3.08,1,0.0,1.48,48.05
